2021 Am Law 200 Rank (FY:2020),2020 Am Law 200 Rank (FY:2019),Firm Name,Gross Revenue,Revenue per Lawyer,2021 Rank By  RPL (FY:2020),Net  Operating Income,Profits Per Equity Partner,"Rank by PPP (FY:2020)
",Profitability Index,Rank By API (FY:2020),"Compensation Average, All Partners",Rank By CAP (FY:2020),Compensation of Non-Equity Partners,Rank By  VPL (FY:2020),CAP divided by number of Lawyers (VPL) (FY:2020),Lawyers Needed to Generate $10 Million (FY:2020),Number of Lawyers,Number of Equity Partners,Number of Non-Equity Partners,Total Partners,Leverage,Profit Margin,Profits Per Lawyer,Rank by PPL,Source,Notes
108,113,Bradley Arant Boult Cummings,330291000,629000,155,176598000,799000,149,1.27,128,651000,133,24656000,115,383000,26.11,526,221,88,309,1.38,53,336000,82,"The American Lawyer, May 18, 2021",
109,112,Clark Hill,308887000,523000,183,84831000,633000,177,1.21,141,447000,184,48869000,189,226000,44.25,591,134,165,299,3.41,27,144000,190,"The American Lawyer, May 18, 2021",
110,111,"Finnegan, Henderson, Farabow, Garrett & Dunner",306760000,1102000,57,120434000,1379000,84,1.25,133,1123000,68,11806000,71,475000,21.05,278,87,30,118,2.19,39,433000,60,"The American Lawyer, May 18, 2021",
111,115,Jackson Walker,305454000,793000,114,133315000,1217000,103,1.53,95,773000,109,56363000,67,492000,20.33,385,110,136,246,2.52,44,346000,80,"The American Lawyer, May 18, 2021",
112,110,Buchanan Ingersoll & Rooney,296171000,767000,121,72817000,837000,143,1.09,166,580000,151,31597000,167,271000,36.9,386,87,93,180,3.44,25,189000,179,"The American Lawyer, May 18, 2021",
113,117,Bracewell,295000000,901000,80,105032000,1616000,72,1.79,68,982000,79,49503000,72,472000,21.19,327,65,92,157,4.04,36,321000,90,"The American Lawyer, May 18, 2021",
114,119,Dinsmore & Shohl,284645000,519000,186,92107000,587000,184,1.13,160,449000,182,38976000,185,239000,41.84,548,157,135,292,2.49,32,168000,185,"The American Lawyer, May 18, 2021",
115,120,Snell & Wilmer,283500000,679000,140,79400000,984000,125,1.45,104,686000,125,60100000,144,334000,29.94,417,81,123,204,4.17,28,190000,178,"The American Lawyer, May 18, 2021",
116,114,"Munger, Tolles & Olson",283320000,1438000,22,162375000,1784000,66,1.24,138,1784000,44,0,18,824000,12.14,197,91,0,91,1.17,57,824000,16,"The American Lawyer, May 18, 2021",
117,118,Quarles & Brady,279671000,650000,147,81324000,674000,170,1.04,174,481000,176,39869000,163,282000,35.46,430,121,131,252,2.57,29,189000,179,"The American Lawyer, May 18, 2021",
118,116,Hughes Hubbard & Reed,275200000,1199000,42,76809000,1568000,77,1.31,117,1220000,65,12649000,112,390000,25.64,230,49,24,73,3.68,28,335000,83,"The American Lawyer, May 18, 2021",
119,123,Choate Hall & Stewart,274746000,1620000,10,159566000,3243000,24,2,50,2185000,30,18913000,7,1052000,9.51,170,49,33,82,2.45,58,941000,9,"The American Lawyer, May 18, 2021",
