2022 Am Law 100 Rank (FY:2021),2021 Am Law 100 Rank (FY:2020),Firm Name,Location,Gross Revenue,"Net 
Operating
Income",Revenue per Lawyer (RPL),2022 Rank By RPL (FY:2021),2021 Rank By RPL (FY:2020),Profits Per Lawyer (PPL),2022 Rank By PPL (FY:2021),2021 Rank By PPL (FY:2020),Profits Per Equity Partner (PPP),2022 Rank By PPP (FY:2021),2021 Rank By PPP (FY:2020),Profitability Index (API),2022 Rank By API (FY:2021),Profit Margin,"Compensation Average, 
All Partners (CAP)",2022 Rank By CAP (FY:2021),"Compensation 
Non-Equity Partners",Value per Lawyer (VPL) ,2022 Rank By VPL (FY:2021),Lawyers Needed per $10 Million,Cost Per Lawyer (CPL),2022 Rank by CPL (FY:2021),2021 Rank by CPL (FY:2020),Total Personnel,Total Number of Lawyers,Total  Number of Partners,Total Number of Equity Partners,Number of Non-Equity Partners,Leverage,Percentage of Lawyers in US,Total Number of Offices,Source,Notes
69,68,Polsinelli,"Kansas City, Missouri",697318000,190878000,804000,84,86,220000,92,89,1406000,74,79,1.75,64,27,693000,91,166179000,412000,77,24.27,583725,71,80,1620,868,515,136,379,5.39,1,22,"The American Lawyer, April 26, 2022",
70,71,Nelson Mullins Riley & Scarborough,"Columbia, South Carolina",680826000,285108000,875000,77,82,366000,60,66,1704000,65,71,1.95,55,42,895000,75,129754000,533000,56,18.76,508615,83,84,1587,778,464,167,296,3.65,1,25,"The American Lawyer, April 26, 2022",
71,69,Littler Mendelson,National,658578000,237088000,668000,94,97,240000,87,87,621000,100,100,0.93,100,36,553000,98,24090000,265000,96,37.74,427457,95,97,1829,986,472,382,90,1.58,0.9709,56,"The American Lawyer, April 26, 2022",
72,70,Fox Rothschild,National,650000000,222487000,737000,88,88,252000,85,84,932000,95,93,1.26,93,34,769000,85,57008000,317000,88,31.55,484841,86,89,NA,882,363,239,125,2.69,1,28,"The American Lawyer, April 26, 2022",
73,85,"Cadwalader, Wickersham & Taft",New York,608953000,262926000,1474000,25,41,637000,32,52,4382000,18,34,2.97,13,43,2876000,24,39051000,731000,32,13.68,837838,14,14,744,413,105,60,45,5.88,0.8523,5,"The American Lawyer, April 26, 2022",
74,75,Duane Morris,National,596590000,184790000,825000,83,83,256000,84,88,1262000,77,81,1.53,75,31,765000,87,102649000,398000,80,25.13,569492,74,71,1358,723,376,146,229,3.94,0.9191,28,"The American Lawyer, April 26, 2022",
75,79,"Mintz, Levin, Cohn, Ferris, Glovsky and Popeo",Boston,588500000,201800000,1206000,46,51,414000,53,57,2102000,51,54,1.74,66,34,1269000,55,111900000,643000,42,15.55,792418,25,27,1124,488,247,96,151,4.08,0.998,7,"The American Lawyer, April 26, 2022",
76,73,"Ogletree, Deakins, Nash, Smoak & Stewart",National,585198000,191897000,670000,93,93,220000,92,92,1051000,89,89,1.57,71,33,679000,92,74167000,305000,90,32.79,450346,92,92,2017,873,392,183,209,3.78,0.945,53,"The American Lawyer, April 26, 2022",
77,74,Cozen O'Connor,National,584802000,214800000,834000,82,81,306000,74,77,1097000,86,86,1.32,86,37,768000,86,65699000,400000,78,25,527670,82,79,1478,701,365,196,170,2.58,0.9853,32,"The American Lawyer, April 26, 2022",
78,78,Barnes & Thornburg,Indianapolis,575549000,300173000,875000,77,74,456000,49,46,1217000,84,84,1.39,82,52,874000,78,73600000,568000,51,17.61,418708,96,93,1226,658,428,247,181,1.67,1,20,"The American Lawyer, April 26, 2022",
79,76,Jackson Lewis,National,550670000,209107000,610000,97,96,232000,89,86,747000,99,97,1.22,95,38,562000,97,54175000,292000,92,34.25,378476,99,96,1714,902,468,280,188,2.23,1,63,"The American Lawyer, April 26, 2022",
80,82,Blank Rome,National,547602000,187188000,956000,66,68,327000,70,75,1225000,82,80,1.28,90,34,867000,79,93931000,491000,66,20.37,628995,60,57,988,573,324,153,171,2.75,0.9983,14,"The American Lawyer, April 26, 2022",
81,81,Nixon Peabody,National,526971000,212833000,980000,64,64,396000,56,53,1710000,64,59,1.74,66,40,933000,73,52808000,494000,65,20.24,584117,70,73,1206,538,285,125,160,3.32,0.9981,13,"The American Lawyer, April 26, 2022",
82,84,Womble Bond Dickinson,International,520462000,176902000,591000,98,98,201000,95,95,810000,98,96,1.37,83,34,593000,95,54803000,263000,97,38.02,390276,98,98,2060,880,391,219,173,3.03,0.5185,27,"The American Lawyer, April 26, 2022",
83,77,Crowell & Moring,"Washington, D.C.",517576000,142818000,948000,67,46,262000,81,62,1220000,83,60,1.29,88,28,896000,74,55231000,363000,85,27.55,686370,45,11,1306,546,221,117,104,3.66,0.8817,13,"The American Lawyer, April 26, 2022",
84,91,Cahill Gordon & Reindel,New York,515600000,359000000,1818000,11,8,1266000,3,4,5533000,10,9,3.04,9,70,5113000,7,6300000,1288000,4,7.76,552225,78,72,418,284,71,65,7,3.37,0.918,3,"The American Lawyer, April 26, 2022",
85,83,Locke Lord,National,510043000,187723000,900000,73,72,331000,69,55,1259000,78,83,1.4,81,37,981000,70,63613000,443000,69,22.57,568466,75,82,997,567,256,149,107,2.8,0.958,20,"The American Lawyer, April 26, 2022",
86,80,Kilpatrick Townsend & Stockton,Atlanta,507316000,175697000,932000,68,65,323000,72,69,1410000,73,66,1.51,76,35,940000,72,64248000,441000,72,22.68,609291,66,58,1130,544,255,125,131,3.37,0.9312,20,"The American Lawyer, April 26, 2022",
87,86,Akerman,Miami,493712000,210001000,794000,86,87,338000,66,65,1018000,90,95,1.28,90,43,724000,89,69842000,450000,68,22.22,456186,90,95,1239,622,386,206,180,2.01,1,25,"The American Lawyer, April 26, 2022",
88,92,Gordon Rees Scully Mansukhani,National,483438000,65842000,505000,99,99,69000,100,100,1135000,85,85,2.25,37,14,353000,100,90582000,163000,100,61.35,436250,94,88,1647,957,443,58,385,15.5,1,74,"The American Lawyer, April 26, 2022",
89,89,Davis Wright Tremaine,Seattle,482140000,164144000,859000,80,70,292000,77,71,992000,92,90,1.15,97,34,787000,84,46397000,375000,83,26.67,566232,76,69,1226,562,267,166,102,2.39,1,8,"The American Lawyer, April 26, 2022",
90,93,Haynes and Boone,Dallas,481900000,184700000,884000,75,76,339000,65,68,1252000,79,82,1.42,78,38,982000,69,51600000,434000,75,23.04,545421,80,75,954,545,241,148,93,2.69,0.9369,18,"The American Lawyer, April 26, 2022",
91,95,Husch Blackwell,St. Louis,476726000,147184000,657000,95,91,203000,94,94,846000,96,94,1.29,88,31,583000,96,56964000,281000,95,35.59,453915,91,90,1593,726,350,174,176,3.17,1,25,"The American Lawyer, April 26, 2022",
92,90,Schulte Roth & Zabel,New York,471363000,233416000,1378000,35,28,683000,28,24,3647000,28,22,2.65,26,50,3647000,17,0,683000,39,14.64,695751,44,43,605,342,64,64,0,4.34,0.9503,3,"The American Lawyer, April 26, 2022",
93,94,Ballard Spahr,National,470346000,188523000,801000,85,84,321000,73,78,837000,97,98,1.04,99,40,837000,82,0,321000,87,31.15,479772,87,86,1179,587,225,225,0,1.61,1,15,"The American Lawyer, April 26, 2022",
94,87,Fish & Richardson,National,467064000,179583000,1437000,28,21,553000,40,30,1864000,57,46,1.3,87,38,1342000,53,37087000,667000,40,14.99,884693,9,6,1136,325,161,96,65,2.37,0.9655,13,"The American Lawyer, April 26, 2022",
95,88,Jenner & Block,Chicago,465586000,196555000,1111000,53,52,469000,45,41,1776000,62,57,1.6,70,42,1303000,54,46800000,581000,47,17.21,642063,59,56,800,419,187,111,76,2.79,0.9567,6,"The American Lawyer, April 26, 2022",
96,98,Kramer Levin Naftalis & Frankel,New York,449000000,187188000,1386000,34,35,578000,36,36,2794000,40,41,2.02,47,42,2187000,37,48978000,729000,33,13.72,808062,21,26,634,324,108,67,41,3.84,0.8827,3,"The American Lawyer, April 26, 2022",
